Structure on Masterlist,IUPAC
GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp8,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8
GlcNAcb1-6(GlcNAcb1-3)GalNAca-Sp14,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14
GlcNAcb1-6(GlcNAcb1-3)Galb1-4GlcNAcb-Sp8,GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-3GalNAca-Sp8,GlcNAc(b1-3)GalNAc(a1-Sp8
GlcNAcb1-3GalNAca-Sp14,GlcNAc(b1-3)GalNAc(a1-Sp14
GlcNAcb1-3Galb-Sp8,GlcNAc(b1-3)Gal(b1-Sp8
GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
GlcNAcb1-3Galb1-4GlcNAcb-Sp8,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
GlcNAcb1-3Galb1-4Glcb-Sp0,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0
GlcNAcb1-4-MDPLys,GlcNAc(b1-MDPLys
GlcNAcb1-6(GlcNAcb1-4)GalNAca-Sp8,GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8
GlcNAcb1-4Galb1-4GlcNAcb-Sp8,GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-4GlcNAcb1-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-4GlcNAcb1-4GlcNAcb-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-6GalNAca-Sp8,GlcNAc(b1-6)GalNAc(a1-Sp8
GlcNAcb1-6GalNAca-Sp14,GlcNAc(b1-6)GalNAc(a1-Sp14
GlcNAcb1-6Galb1-4GlcNAcb-Sp8,GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8
Glca1-4Glcb-Sp8,Glc(a1-4)Glc(b1-Sp8
Glca1-4Glca-Sp8,Glc(a1-4)Glc(a1-Sp8
Glca1-6Glca1-6Glcb-Sp8,Glc(a1-6)Glc(a1-6)Glc(b1-Sp8
Glcb1-4Glcb-Sp8,Glc(b1-4)Glc(b1-Sp8
Glcb1-6Glcb-Sp8,Glc(b1-6)Glc(b1-Sp8
G-ol-Sp8,G-ol(1-Sp8
GlcAa-Sp8,GlcA(a1-Sp8
GlcAb-Sp8,GlcA(b1-Sp8
GlcAb1-3Galb-Sp8,GlcA(b1-3)Gal(b1-Sp8
GlcAb1-6Galb-Sp8,GlcA(b1-6)Gal(b1-Sp8
KDNa2-3Galb1-3GlcNAcb-Sp0,KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
KDNa2-3Galb1-4GlcNAcb-Sp0,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
